Department,Comments,,,,,,,,,,,,,,,,
0,"We hosted Top Academic Achievers of Mwakirunge Secondary School (Mtopanga-Mombasa) for a one day academic tour at the Home of Ideas. The students and teachers toured our facilities, interacted with our students and had motivational session with our lecturers. The aim of the trip is encouraged them to work hard and get acquainted to University life as they prepare for the final exams.",,,,,,,,,,,,,,,,
0,Good 0 and motivational leadership is key...wish the achievers all the best. God bless you?Kioko Muthengi?for such efforts,,,,,,,,,,,,,,,,
0,It is with deep sorrow that we announce the passing on of Maureen Kanini Joseph (MJ) that occurred at KDF Memorial Hospital - Nairobi after a short illness. ,,,,,,,,,,,,,,,,
1,Our 3rd Year statistics students toured Kenya National Bureau of Statistics for the academic trip to learn more about the government institutions and get acquainted with what awaits them as they prepare to join the industry. Dr. Kombo and Dr. Oscar Ngesa who accompanied the students on the trip received various KNBS publications which will go along way in enriching our University Library.,,,,,,,,,,,,,,,,
0,Visit by the Kenya Space Weather team to launch the Space Weather Laboratory and assess the progress undertaken by TTU on Taita Space Weather Project implementation.,,,,,,,,,,,,,,,,
0,"I mean is this really in place so we can get geomagnetic activities, solar x-ray Flux and solar proton Flux data.",,,,,,,,,,,,,,,,
4,"And yes! Great things came forth from the meeting! Thank you County Executive Committee Member, 3, Taita Taveta County, Mr.John Mwakima, for giving the TTU fraternity through the docket I held, I.e 3 and Environment Secretary, SATTU,an opportunity  to give back to the community (for 3 part of the docket) through doing a clean up at The Moi Referral Hospital Voi, The hospital has been one of the support system to the institution when we need them. We did help in cleaning the hospital environs and it was fun!! We received sanitary towels, condoms and drinks! It was awesome!",,,,,,,,,,,,,,,,
4,"The last one! ?? ""It's the little things citizens do.That's what makes a difference. Mine is #cleanup ~planting trees~""-Wangari Maathai'-  (modified to suit us??) But same course! #Environment  Big love for the phenomenal late leader!No life without nature!For the Environment bit, we went out to clean the Environs of Mwatate town! Was fun too! What benefit did this accrue to us as TTU? (Taita Taveta University)? 1. We gave back to the community! We are that type of people and university. 2. Y'all can't be joining other campuses and leaving your own right here!??... come to TTU1.12.2021",,,,,,,,,,,,,,,,
0,"The Vice Chancellor Prof. Fred Simiyu - presided over the Handing over Ceremony for the products developed by the Mining and Mineral Processing Engineering during the Internal Attachment conducted between 23rd May, and 24th July 2021 at the University.",,,,,,,,,,,,,,,,
2,DISSOLUTION OF STUDENT ASSOCIATION OF TAITA TAVETA UNIVERSITY (SATTU) EXECUTIVE COUNCIL,,,,,,,,,,,,,,,,
3,Happening now; Ministry of 3 Officials administering Moderna vaccine at the University The University aims to vaccinate all staff and students against COVID-19 by the end of the year.,,,,,,,,,,,,,,,,
3,"Final Day: 1st Year Orientation Talk on Alcohol, Drugs and Substance Abuse by Dr. Wilson Charo - Head 3 Unit.",,,,,,,,,,,,,,,,
6,INTERCLASSES FINALS HAPPENING NOW At the University 6 Ground  Bachelor of Statistics year 4 Vs Bachelor of Education Science year 2 Final Score; Statistics 1 - Education 1 Post Penalties: Statistics  5 -  4 Education,,,,,,,,,,,,,,,,
